"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 6","tr_header 7"
"57","Atanaw, Kinde","29","M","ETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:39","0:44:44","1:00:02","1:03:26","1:15:28","1:30:59","1:46:33","2:01:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:56","2:09:16","10","10","10","",""
"29","Albertson, Cj","28","M","Fresno","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:55","0:29:39","0:44:43","1:00:01","1:03:24","1:15:25","1:30:59","1:46:46","2:03:01","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:59","2:10:23","13","13","13","",""
"292","Adams, Micah","30","M","Provo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UT","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:51","0:33:35","0:50:12","1:07:21","1:11:03","1:24:23","1:42:02","2:00:13","2:18:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:36","2:26:30","63","53","51","",""
"427","Abasolo, Brandon","31","M","Moraga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:13","0:34:26","0:51:55","1:09:18","1:13:03","1:26:29","1:44:00","2:01:54","2:20:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:41","2:28:39","98","86","80","",""
"443","Alexander, Daniel","33","M","Newcastle Upon Tyne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GBR",""
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:15","0:33:07","0:50:20","1:07:53","1:11:41","1:25:20","1:43:26","2:02:06","2:20:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:41","2:28:39","99","87","81","",""
"426","Aghegnehu, Abinazer","36","M","Prunedale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:24","0:34:49","0:52:27","1:10:15","1:14:03","1:27:52","1:45:57","2:04:26","2:22:22","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:44","2:30:03","127","113","103","",""
"417","Alatalo, Erik","27","M","Hanover","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NH","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:37","0:35:19","0:52:50","1:10:29","1:14:16","1:28:01","1:46:23","2:05:01","2:23:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:47","2:31:29","169","154","140","",""
"757","Anderson, Leif","35","M","Somerville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MA","USA"
