"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"19","Fauble, Scott","30","M","Flagstaff","AZ","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:57","0:29:54","0:45:17","1:01:00","1:04:26","1:16:32","1:31:48","1:47:07","2:02:11","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:55","2:08:52","7","7","7"
"32","Fischer, Reed","27","M","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","-","0:29:55","0:45:18","1:01:00","1:04:27","1:16:34","1:32:03","1:48:06","2:03:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:00","2:10:54","16","16","16"
"295","Fazioli, Samuel","30","M","Derry","NH","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:33","0:33:07","0:50:04","1:07:05","1:10:46","1:23:59","1:41:13","1:58:47","2:16:35","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:31","2:24:17","44","38","38"
"376","Fyock, Chris","32","M","Middleburg Heights","OH","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:43","0:35:09","0:52:43","1:10:29","1:14:25","1:29:49","1:47:35","2:05:21","2:22:43","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:44","2:30:02","124","110","100"
"528","Flaherty, Matt","36","M","Bloomington","IN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:51","0:35:17","0:52:46","1:10:14","1:14:01","1:27:36","1:45:33","2:04:04","2:22:41","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:53","153","138","126"
"683","Foley, Vivian","52","M","Cork","IRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:30","0:34:57","0:52:33","1:10:16","1:14:08","1:27:57","1:46:20","2:05:34","2:24:50","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:32","220","203","2"
"480","Frank, Jesse","29","M","Boulder","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
