"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"203","Roeger, Michael","33","M","Bruce","AUS","Para T45-T46-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:15:51","0:32:09","0:48:49","1:05:26","1:09:07","1:22:22","1:40:03","1:58:41","2:17:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:34","2:25:42","58","49","48"
"635","Rafuse, Ryan","38","M","Canaan","NS","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:52","0:33:33","0:50:36","1:07:50","1:11:36","1:25:12","1:43:10","2:01:36","2:19:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:38","2:27:22","73","63","60"
"52","Rubio, Gilles","41","M","Roquebrune-Cap-Martin","FRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:24","0:33:17","0:50:33","1:08:25","1:12:23","1:26:06","1:44:16","2:02:48","2:21:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:43","2:29:47","118","105","9"
"557","Rigby, Bryan","34","M","San Diego","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:11","0:34:13","0:51:19","1:08:42","1:12:27","1:25:59","1:43:54","2:02:39","2:21:23","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:43","2:29:49","120","107","97"
"268","Rideout, Ken","50","M","Brentwood","TN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:46","0:33:58","0:51:18","1:08:40","1:12:25","1:26:01","1:44:07","2:02:56","2:21:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:21","135","121","1"
"1896","Rosenkranz, Josh","25","M","San Francisco","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:34","0:35:08","0:52:41","1:10:15","1:14:05","1:27:38","1:45:29","2:03:44","2:22:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:37","143","129","118"
"23","Riley, Jake","33","M","Boulder","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:15:33","0:31:09","0:47:39","1:04:47","1:08:36","1:23:05","1:40:55","1:59:47","2:21:23","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:48","149","134","122"
"397","Racine, Dany","30","M","Victoriaville","QC","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:58","0:33:36","0:50:37","1:08:54","1:12:52","1:27:16","1:46:06","2:04:20","2:22:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:50","150","135","123"
"2675","Robinson, Troy","29","M","Johnson City","NY","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:46","0:34:51","0:52:09","1:09:46","1:13:38","1:27:33","1:45:49","2:04:43","2:23:13","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","-","2:31:16","159","144"
