"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"393","Trujillo, Esteban","36","M","Fort Collins","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:28","0:32:34","0:48:50","1:05:09","1:08:42","1:21:19","1:38:20","1:56:16","2:14:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:27","2:22:36","38","33","33"
"372","Tropf, Jordan","30","M","Silver Spring","MD","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:50","0:33:34","0:50:27","1:07:38","1:11:22","1:24:39","1:41:53","1:59:39","2:17:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:32","2:24:42","47","41","41"
"529","Thayer, Dylan","31","M","Chevy Chase","MD","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:53","0:35:37","0:53:17","1:10:59","1:14:50","1:28:36","1:46:15","2:04:05","2:21:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:44","2:30:02","126","112","102"
"692","Tyner, Alexander","28","M","Chicago","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:53","0:35:18","0:52:49","1:10:24","1:14:13","1:27:56","1:46:01","2:04:35","2:22:41","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:47","148","133","121"
"640","Turner, Alex","24","M","Watertown","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:05","0:34:09","0:51:24","1:08:59","1:12:45","1:26:39","1:44:54","2:03:43","2:22:27","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:46","2:30:53","152","137","125"
