"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"101","Kiplagat, Edna","42","F","Boulder","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:22","0:50:21","1:06:41","1:10:20","1:23:25","1:40:33","1:57:53","2:14:17","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:25","2:21:40","35","4","1"
"126","Krifchin, Maegan","34","F","Marietta","GA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:54","0:52:36","1:10:26","1:14:21","1:28:23","1:46:46","2:05:32","2:23:56","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:48","2:31:53","182","17","15"
"149","Kellner, Katie","30","F","Brighton","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:28","0:37:06","0:55:49","1:14:37","1:18:35","1:33:26","1:52:54","2:12:27","2:32:12","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:09","2:40:57","546","31","28"
"1451","Kelly, Lauren","31","F","Philadelphia","PA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:20","0:38:28","0:57:47","1:17:01","1:21:13","1:36:36","1:57:16","2:19:23","2:39:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:28","-","2:49:14","1282","64"
"1894","King, Kristina","30","F","Chicago","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:02","0:41:30","1:01:53","1:22:20","1:26:45","1:42:45","2:03:03","2:23:06","2:42:07","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:30","2:50:25","1444","74","68"
