"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"121","Rojas, Nell","34","F","Boulder","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:27","0:51:13","1:08:22","1:12:05","1:25:29","1:42:46","2:00:46","2:18:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:35","2:25:57","60","10","9"
"122","Rothstein-Bruce, Stephanie","38","F","Flagstaff","AZ","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:33","0:51:56","1:09:22","1:13:16","1:26:57","1:44:54","2:03:03","2:20:22","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:39","2:28:02","84","12","10"
"8102","Risteen, Emilee","26","F","Derry","NH","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:06","0:38:17","0:57:29","1:16:43","1:20:55","1:35:45","1:55:09","2:14:48","2:34:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:12","2:42:25","624","33","30"
"148","Rouse, Gina","42","F","Knoxville","TN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:28","0:36:59","0:55:24","1:14:07","1:18:06","1:32:30","1:51:54","2:12:24","2:33:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:13","2:42:54","663","37","4"
"2452","Rodin, Rachel","31","F","Jamaica Plain","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:56","0:39:51","0:59:52","1:19:53","1:24:13","1:39:41","1:59:36","2:19:22","2:38:44","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:23","2:47:09","1032","52","47"
"281","Roecker, Samantha","30","F","Philadelphia","PA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:38","0:39:49","1:00:06","1:20:05","1:24:23","1:39:48","1:59:45","2:20:00","2:39:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:25","2:48:02","1136","56","51"
"11426","Rasmussen, Erin","24","F","Charleston","SC","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
