"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"125","Wetsch, Bria","33","F","Broomfield","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:40","0:52:00","1:09:50","1:13:45","1:27:36","1:46:11","2:04:54","2:23:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:45","2:30:42","146","15","13"
"119","Wodak, Natasha","40","F","North Vancouver","BC","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:42","0:34:33","0:51:52","1:09:33","1:13:27","1:27:34","1:46:34","2:06:33","2:26:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:08","259","19","3"
"2352","Williams, Caroline","29","F","Boston","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:38","-","0:55:55","1:14:47","1:18:53","1:33:40","1:53:06","2:13:09","2:33:40","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:12","-","2:42:30","629","34"
"2798","Wright, Vicky","44","F","Cheshire","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:07","0:39:43","0:59:27","1:19:25","1:23:45","1:39:24","1:59:57","2:20:47","2:41:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:29","2:49:52","1370","68","5"
"3222","Waineo, Kiersten","29","F","Plymouth","MI","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:18","0:40:29","1:00:47","1:21:04","1:25:29","1:41:18","2:01:32","2:21:44","2:41:50","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:31","2:50:37","1469","77","71"
"4356","Wehman, Kelly","35","F","Ringgold","GA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:22","0:40:39","1:01:03","1:21:26","1:25:49","1:41:37","2:02:26","2:23:21","2:43:56","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:36","2:52:56","1798","90","84"
"6398","Woodward, Katy","40","F","Ware","GBR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:43","0:41:25","1:02:12","1:23:05","1:27:40","1:43:54","2:04:55","2:26:13","2:47:01","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:43","-","2:56:10","2352","140"
"19025","Weston, Jennifer","46","F","Oak Ridge","TN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:48","0:42:37","1:03:20","1:24:09","1:28:41","1:44:51","2:05:56","2:27:27","2:48:04","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:46","2:57:03","2537","162","4"
"9408","Wendle, Claire","24","F","Seattle","WA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:15","0:42:04","1:02:55","1:23:47","1:28:21","1:44:37","2:05:59","2:27:26","2:48:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:48","2:57:52","2728","177","156"
"7439","Walsh, Megan","24","F","Chapel Hill","NC","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:01","0:42:02","1:03:03","1:24:01","1:28:35","1:44:56","2:06:06","2:27:40","2:49:25","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:49","2:58:36","2918","196","172"
"6823","Westinghouse, Tasha","46","F","Seattle","WA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:10","0:41:53","1:02:33","1:23:26","1:28:00","1:44:22","2:05:52","2:27:50","2:49:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:50","2:58:49","2979","203","5"
"8539","Whittaker, Reilly","28","F","Vancouver","BC","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:01","0:41:52","1:02:49","1:24:03","1:28:40","1:45:23","2:07:18","2:29:18","2:50:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:52","3:00:02","3310","234","203"
"9172","Wick, Emily","23","F","Omaha","NE","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:06","0:41:55","1:03:06","1:24:37","1:29:12","1:45:49","2:07:35","2:29:49","2:51:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:54","3:00:37","3404","243","210"
"7412","Wieczorek, Maura","40","F","Halifax","NS","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:01","0:42:05","1:03:08","1:24:14","1:28:54","1:45:18","2:06:53","2:28:46","2:51:39","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:57","3:02:12","3684","271","26"
"5957","Walhovd, Kristine Beate","45","F","Oslo","NOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:10","0:42:22","1:03:36","1:25:12","1:29:50","1:46:38","2:08:44","2:31:19","2:53:09","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:59","3:03:01","3848","286","10"
"4231","Wu, Nini","47","F","Markham","ON","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:07","0:42:00","1:03:01","1:24:02","1:28:41","1:45:29","2:07:53","2:30:59","2:53:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:00","3:03:19","3898","300","13"
"4168","Witt, Krista","36","F","Oswego","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:11","0:43:47","1:05:13","1:26:42","1:31:18","1:48:05","2:10:32","2:32:47","2:54:18","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:01","3:03:47","3997","322","270"
"9518","Westover, Maeve","26","F","Boston","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:53","0:43:11","1:04:33","1:26:03","1:30:48","1:47:37","2:09:51","2:32:20","2:54:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:01","3:03:56","4014","326","274"
"8491","Wei, Iris","36","F","Chicago","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:47","0:43:23","1:05:09","1:27:23","1:32:05","1:48:52","2:10:53","2:33:21","2:55:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:04","3:05:05","4216","363","305"
"15355","Wilmot, Alexis","19","F","Suwanee","GA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:15","0:44:18","1:06:39","1:29:06","1:33:59","1:51:10","2:13:13","2:35:55","2:57:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:10","3:07:40","4719","442","365"
"8449","Willey, Rose","29","F","New York","NY","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
