"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29","tr_header 6","tr_header 7"
"31","Talbi, Zouhair","28","M","MAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:19","0:28:54","0:43:58","0:59:02","1:02:20","1:14:08","1:29:46","1:45:30","2:01:13","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:04:54","2:08:35","5","5","5","",""
"29","True, Ben","37","M","West Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NH","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:14:40","0:30:17","0:46:01","1:02:02","1:05:33","1:17:58","1:34:43","1:52:00","2:08:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:12","2:16:06","23","23","23","",""
"228","Tomsich, Anthony","36","M","Tuebingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GER","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:34","0:32:59","0:49:43","1:06:29","1:10:04","1:23:08","1:40:14","1:57:13","2:14:12","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:26","2:22:11","46","41","41","",""
"241","Trujillo, Esteban","37","M","Fort Collins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CO","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:47","0:33:26","0:50:07","1:06:54","1:10:32","1:23:41","1:40:45","1:57:57","2:15:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:27","2:22:50","49","44","44","",""
"266","Thompson, Harley","30","M","Saint Marys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:15","0:34:25","0:51:41","1:08:57","1:12:42","1:26:09","1:43:38","2:01:13","2:18:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:36","2:26:46","94","77","72","",""
"365","Turner, Alex","25","M","Watertown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:52","0:35:34","0:52:53","1:09:40","1:13:16","1:26:46","1:44:32","2:02:29","2:20:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:40","2:28:18","115","96","87","",""
"660","Taute, Brock","30","M","Broomfield","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CO","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:38","0:34:44","0:52:20","1:10:13","1:14:04","1:28:11","1:46:41","2:05:01","2:23:19","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:48","2:31:56","204","179","158","",""
"514","Tuttle, Andrew","27","M","Alton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NH","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:50","0:35:23","0:53:12","1:10:48","1:14:32","1:28:16","1:46:23","2:05:11","2:24:13","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:49","2:32:16","220","195","174","",""
"952","Todzo, Quinn","26","M","Mill Valley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:35","0:35:11","0:52:53","1:10:48","1:14:43","1:29:01","1:47:38","2:06:25","2:24:58","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:51","2:33:04","243","217","194","",""
"1153","Tolton, George","31","M","Salem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:13","0:36:10","0:54:20","1:13:02","1:16:57","1:30:52","1:49:18","2:07:44","2:25:33","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:39","263","237","211","",""
"960","Todd, Connor","25","M","Baltimore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MD","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:07","0:36:04","0:54:12","1:12:09","1:15:59","1:30:05","1:48:13","2:06:29","2:24:59","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:52","2:33:47","270","244","218","",""
"542","Torrealba, Cristobal","46","M","Santiago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHI",""
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:50","0:35:49","0:53:54","1:12:03","1:16:00","1:30:14","1:49:00","2:07:53","2:26:20","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:54","2:34:30","307","279","5","",""
"1070","Tringali, Christopher","25","M","Millville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:03","0:37:15","0:55:25","1:13:40","1:17:39","1:31:59","1:50:21","2:08:55","2:27:14","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:20","340","309","272","",""
"30208","Thomas, Matt","26","M","Austin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TX","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:22","0:36:52","0:54:34","1:12:22","1:16:17","1:30:04","1:48:34","2:07:40","2:27:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:29","353","321","284","",""
"2100","Thomas, Harrison","24","M","Carbondale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IL","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:39","0:33:44","0:50:53","1:08:10","1:11:51","1:25:13","1:43:02","2:02:06","2:24:42","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:56","2:35:30","357","325","288","",""
"2403","Thiessen, Matthew","29","M","Navarre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OH","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:08","0:37:47","0:56:13","1:14:51","1:18:50","1:33:02","1:51:26","2:10:08","2:28:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:58","2:36:26","404","369","328","",""
"938","Testa, Chris","24","M","Hartford","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CT","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:56","0:34:22","0:52:34","1:11:09","1:15:10","1:29:51","1:48:58","2:08:10","2:27:54","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:05:59","2:36:58","431","396","352","",""
"500","Termorshuizen, Luke","22","M","Annapolis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MD","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:17:39","0:34:55","0:52:36","1:09:56","1:13:45","1:27:30","1:45:58","2:06:51","2:28:03","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:00","2:37:15","442","407","362","",""
"650","Taylor, Michael","33","M","East Falmouth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:10","0:36:29","0:54:47","1:13:10","1:17:11","1:31:30","1:50:15","2:09:23","2:28:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:00","2:37:19","449","414","367","",""
"469","Thel, Mark","23","M","Charlottesville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","VA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:16:48","0:33:51","0:51:52","1:09:41","1:13:33","1:27:43","1:46:27","2:06:20","2:29:17","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:03","2:38:32","536","500","436","",""
"1699","Toomey, Jordan","26","M","Pella","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IA","USA"
"","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:27","0:36:40","0:54:59","1:13:27","1:17:26","1:31:47","1:50:35","2:10:02","2:29:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:04","2:39:01","575","536","463","",""
"630","Torgerson, Jaden","25","M","Tooele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UT","USA"
