"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"1505","Xu, Xin","51","M","Mason","OH","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:43","0:39:28","0:59:20","1:19:10","1:23:28","1:39:04","1:59:29","2:20:21","2:40:59","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:29","2:49:57","1775","1696","30"
"6362","Xu, Duo","38","M","Brooklyn","NY","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:36","0:42:34","1:03:37","1:24:43","1:29:18","1:45:47","2:07:17","2:28:47","2:49:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:50","2:59:15","3945","3691","2577"
"9101","Xu, Hua","46","M","North Ryde","AUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:12","0:44:03","1:05:37","1:26:47","1:31:22","1:48:18","2:10:07","2:31:59","2:52:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:56","3:01:49","4581","4253","387"
"6080","Xiao, Baitao","37","M","Canton","MI","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:15","0:42:47","1:04:03","1:25:28","1:30:07","1:46:46","2:08:34","2:30:48","2:53:35","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:00","3:03:22","4918","4525","2979"
"7185","Xie, Tiao","45","M","Weston","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:52","0:42:14","1:03:17","1:24:42","1:29:18","1:46:19","2:08:47","2:34:18","2:58:08","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:12","3:08:38","6088","5446","618"
"9063","Xavier, Renato","49","M","Liberty Lake","WA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:00","0:41:56","1:02:50","1:24:02","1:28:46","1:46:04","2:09:15","2:34:46","3:00:57","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:21","3:12:30","7006","6086","787"
"11453","Xing, Xiaozhong","53","M","Sammamish","WA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:26","0:45:43","1:08:25","1:31:35","1:36:33","1:54:37","2:18:09","2:41:38","3:05:15","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:29","3:15:58","7998","6736","560"
"12031","Xu, Zhaohui","56","M","Ann Arbor","MI","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:29","0:46:21","1:09:07","1:32:19","1:37:24","1:55:43","2:19:43","2:43:51","3:07:26","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:32","3:17:29","8451","7017","219"
"12363","Xie, Kun","50","M","Laval","QC","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:52","0:44:36","1:06:53","1:30:01","1:35:00","1:53:27","2:17:38","2:43:05","3:08:29","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:37","3:19:44","9108","7400","711"
"15419","Xin, Mingdi","53","M","Tokyo","JPN","CHN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
