"tr_header","tr_header 2","tr_header 3","tr_header 4","tr_header 5","tr_header 6","tr_header 7","table_infogrid","table_infogrid 2","table_infogrid 3","table_infogrid 4","table_infogrid 5","table_infogrid 6","table_infogrid 7","table_infogrid 8","table_infogrid 9","table_infogrid 10","table_infogrid 11","table_infogrid 12","table_infogrid 13","table_infogrid 14","table_infogrid 15","table_infogrid 16","table_infogrid 17","table_infogrid 18","table_infogrid_title","table_infogrid 19","table_infogrid 20","table_infogrid 21","table_infogrid 22","table_infogrid 23","table_infogrid 24","table_infogrid 25","table_infogrid 26","table_infogrid 27","table_infogrid 28","table_infogrid 29"
"1287","Ames, Lauren","35","F","Southborough","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:18:54","0:37:38","0:56:32","1:15:38","1:19:47","1:34:36","1:54:07","2:14:05","2:33:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:11","2:42:01","767","43","40"
"4261","Aquilano, Shea","21","F","Carmel","IN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:08","0:41:59","1:02:44","1:23:27","1:27:50","1:43:42","2:04:21","2:24:56","2:44:53","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:37","2:53:31","2373","104","90"
"13914","Assalone, Melissa","32","F","Richmond","VA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:52","0:42:22","1:02:59","1:23:57","1:28:28","1:44:27","2:05:10","2:26:05","2:46:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:42","2:55:30","2814","138","117"
"7362","Auyeung, Rowena","31","F","North York","ON","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:35","0:42:48","1:03:50","1:24:46","1:29:19","1:45:30","2:06:24","2:27:12","2:47:23","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:43","2:56:09","2960","153","129"
"6978","Alpert Eftikides, Jennie","42","F","Clearwater","FL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:19:50","0:39:50","1:00:02","1:20:44","1:26:01","1:42:22","2:03:51","2:25:28","2:46:49","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:44","2:56:36","3081","159","19"
"4374","Avendt, Meghan","34","F","Santa Clarita","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:36","0:42:44","1:03:51","1:25:02","1:29:34","1:45:51","2:06:56","2:28:06","2:48:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:47","2:57:45","3416","194","161"
"9451","Alsup, Courtney","29","F","Bakersfield","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:54","0:41:37","1:02:11","1:22:51","1:27:20","1:43:32","2:05:16","2:27:41","2:49:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:50","2:58:59","3860","235","196"
"13230","Anderson, Nina","29","F","Salinas","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:14","0:42:21","1:03:28","1:24:41","1:29:19","1:45:59","2:07:36","2:29:34","2:50:24","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:50","2:59:15","3939","250","210"
"3921","Atabek, Natalie","31","F","Baltimore","MD","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:01","0:40:04","1:00:39","1:21:48","1:26:27","1:43:22","2:05:36","2:28:22","2:51:07","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:53","3:00:17","4256","281","233"
"3980","Arnold, Kaitlyn","28","F","Jackson","MI","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:43","0:41:04","1:01:18","1:21:33","1:25:58","1:41:38","2:02:28","2:24:24","2:50:35","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:53","3:00:21","4269","283","235"
"4586","Angelo, Thia","34","F","Alameda","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:48","0:44:20","1:05:40","1:27:07","1:31:45","1:48:30","2:10:12","2:31:36","2:52:50","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:06:56","3:01:46","4566","324","269"
"9894","Aldrete Mejia, Ana Cecilia","39","F","San Luis Potosi","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:37","0:44:21","1:06:04","1:27:35","1:32:16","1:49:19","2:11:29","2:33:37","2:55:18","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:03","3:04:42","5186","435","358"
"11219","Allen, Andrea","27","F","Philadelphia","PA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:05","0:44:07","1:05:44","1:27:44","1:32:28","1:49:31","2:12:01","2:34:33","2:56:37","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:06","3:05:56","5453","483","396"
"12091","Anderson, Lauren","26","F","New York","NY","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:29","0:44:01","1:05:21","1:27:04","1:31:44","1:48:45","2:11:06","2:33:59","2:56:34","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:07","3:06:31","5586","520","427"
"10000","Amack, Stephanie","28","F","San Ramon","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:56","0:41:28","1:02:10","1:23:24","1:28:01","1:44:43","2:07:16","2:30:44","2:54:52","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:08","3:06:42","5629","529","434"
"11282","Adair, Shelby","24","F","Spartanburg","SC","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:16","0:44:37","1:06:58","1:29:13","1:34:06","1:51:31","2:13:42","2:35:47","2:57:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:08","3:07:03","5714","549","450"
"9879","Anzallo, Heather","29","F","Alexandria","VA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:38","0:44:32","1:06:21","1:28:20","1:33:06","1:50:11","2:12:23","2:35:05","2:57:37","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:08","3:07:06","5721","551","452"
"9562","Arakelian, Anoush","31","F","Bedford","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:18","0:44:20","1:06:24","1:28:44","1:33:37","1:50:50","2:13:30","2:36:03","2:58:08","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:09","3:07:22","5781","565","463"
"7604","Anderson, Rebecca","47","F","Valparaiso","IN","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:22","0:42:47","1:04:21","1:26:15","1:31:02","1:48:20","2:11:12","2:34:27","2:57:21","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:09","3:07:26","5803","571","30"
"8457","Ankrum, Laura","50","F","Holualoa","HI","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:34","0:41:32","1:02:29","1:24:01","1:28:47","1:46:01","2:09:58","2:34:10","2:58:05","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:12","3:08:41","6100","639","3"
"9788","Avila, Elizabeth","39","F","Juarez","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:26","0:44:12","1:05:38","1:27:16","1:31:55","1:48:59","2:11:49","2:36:06","2:59:47","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:16","3:10:26","6507","749","609"
"6086","Abdulmassih, Tiana","30","F","San Francisco","CA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:20:33","0:40:43","1:01:07","1:22:04","1:26:43","1:44:41","2:09:00","2:35:02","2:59:50","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:16","3:10:34","6539","762","620"
"8754","Argandoña, Valeria","33","F","Viña Del Mar","CHI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:04","0:44:08","1:06:26","1:29:08","1:34:03","-","2:15:01","2:38:22","3:00:51","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:17","3:10:40","6558","766","622"
"8607","Ayers, Allison","42","F","Summit","NJ","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:07","0:43:48","1:05:21","1:27:06","1:31:53","1:49:23","2:12:39","2:36:31","3:00:30","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:17","3:10:51","6597","778","102"
"11421","Arnott-Hill, Elizabeth","43","F","Chicago","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:32","0:46:23","1:09:07","1:31:56","1:36:48","1:54:15","2:17:03","2:39:44","3:01:48","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:18","3:11:19","6706","811","106"
"8958","Arce, Anais","33","F","Austin","TX","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:21:49","-","-","1:28:31","1:33:37","1:51:34","2:14:49","2:38:30","3:01:31","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:19","3:11:48","6843","859","694"
"10898","Allan, Kirsten","32","F","Englewood","CO","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:39","0:44:49","1:07:09","1:29:54","1:34:48","1:52:41","2:16:12","2:39:57","3:03:27","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:21","3:12:41","7054","934","753"
"10772","Arouca, Kerry","35","F","Hanson","MA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:25","0:44:39","1:07:05","1:29:43","1:34:38","1:52:43","2:16:33","2:40:54","3:04:02","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:23","3:13:35","7310","1019","822"
"10681","Arnold, Sayaka","32","F","Canton","OH","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:36","0:44:45","1:06:45","1:29:07","1:34:02","1:51:58","2:15:51","2:40:24","3:04:25","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:25","3:14:22","7540","1092","879"
"13498","Adams, Julia","40","F","Peoria","IL","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:43","0:46:43","1:09:54","1:32:46","1:37:44","1:55:29","2:18:25","2:41:27","3:04:23","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:25","3:14:22","7541","1093","142"
"11244","Arce, Natalia","38","F","Santiago","CHI","MEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:27","0:45:10","1:08:00","1:31:01","1:36:06","1:54:17","2:18:10","2:41:48","3:04:45","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:26","3:14:43","7649","1131","905"
"12184","Abrantes, Erika","24","F","Lake George","NY","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:02","0:45:41","1:08:12","1:30:52","1:35:49","1:53:47","2:17:26","2:41:14","3:04:40","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:26","3:14:54","7703","1148","920"
"10758","Auclair, Ann-Julie","43","F","Mont-Royal","QC","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:23:10","0:46:31","1:09:43","1:32:58","1:38:07","1:56:17","2:19:43","2:42:57","3:05:36","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:27","3:15:22","7836","1197","154"
"9148","Adriatico, Leigh Ann","39","F","Renton","WA","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","5k","10k","15k","20k","Half","25k","30k","35k","40k","0:22:15","0:44:09","1:06:03","1:28:24","1:33:19","1:51:14","2:15:10","2:40:14","3:04:32","Finish:","Pace","Proj. Time","Offl. Time","Overall","Gender","Division","0:07:28","3:15:29","7859","1203","960"
